Scheduled_Date,Day,Time_UTC,Platform,Content_Type,Episode,Title,Copy,Tags,Media_Path,CTA
2026-09-23,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 2,Short 2.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Al-Baqarah 2:2. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md#Scene-3,Try this 5-minute action tonight
2026-09-23,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 2,Instagram Carousel: What Is the Qur'an Actually For?,Come back to the Qur'an with Episode 2: What Is the Qur'an Actually For?. Focus on Surah Al-Baqarah 2:2. Read it. Understand it. Live it.,#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_002/,Save this post and swipe through
2026-09-24,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 2,Short 2.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? What Is the Qur'an Actually For?.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md#Scene-4,Comment your thoughts below
2026-09-24,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 2,Weekly Contemplation: What Is the Qur'an Actually For?,"Weekly broadcast dropping the complete pedagogical context of Surah Al-Baqarah 2:2, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-09-25,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 2,Short 2.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Al-Baqarah 2:2. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md#Scene-5,Read Surah Al-Kahf with presence today
2026-09-25,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 2,X Thread: What Is the Qur'an Actually For?,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Al-Baqarah 2:2. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-002.md#Twitter,Retweet the thread to share guidance
2026-09-26,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 2,Spoken Reflection: What Is the Qur'an Actually For?,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. What Is the Qur'an Actually For?.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-002.md,Listen on Spotify or Apple Podcasts
2026-09-27,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 3,Episode 3: Allah Is Closer Than You Think,"Full video essay exploring Surah Al-Baqarah 2:186 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-003.md,Watch the full episode on YouTube
2026-09-28,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 3,Short 3.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? Allah Is Closer Than You Think. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-003.md#Scene-1,Follow @HuursStudio for daily reflection
2026-09-29,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 3,Short 3.2: The Ayah (Surah Al-Baqarah 2:186),Listen to this verse with an open heart. Surah Al-Baqarah 2:186. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-003.md#Scene-2,Save this verse for your evening prayer
2026-09-29,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 3,Daily Card: Surah Al-Baqarah 2:186,"🌿 *Huurs Daily Contemplation — Episode 3*

""Surah Al-Baqarah 2:186""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-003.md#WhatsApp,Share with family and friends
2026-09-30,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 3,Short 3.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Al-Baqarah 2:186. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-003.md#Scene-3,Try this 5-minute action tonight
2026-09-30,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 3,Instagram Carousel: Allah Is Closer Than You Think,Come back to the Qur'an with Episode 3: Allah Is Closer Than You Think. Focus on Surah Al-Baqarah 2:186. Read it. Understand it. Live it.,#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_003/,Save this post and swipe through
2026-10-01,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 3,Short 3.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? Allah Is Closer Than You Think.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-003.md#Scene-4,Comment your thoughts below
2026-10-01,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 3,Weekly Contemplation: Allah Is Closer Than You Think,"Weekly broadcast dropping the complete pedagogical context of Surah Al-Baqarah 2:186, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-10-02,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 3,Short 3.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Al-Baqarah 2:186. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-003.md#Scene-5,Read Surah Al-Kahf with presence today
2026-10-02,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 3,X Thread: Allah Is Closer Than You Think,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Al-Baqarah 2:186. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-003.md#Twitter,Retweet the thread to share guidance
2026-10-03,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 3,Spoken Reflection: Allah Is Closer Than You Think,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. Allah Is Closer Than You Think.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-003.md,Listen on Spotify or Apple Podcasts
2026-10-04,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 4,Episode 4: What If You've Been Away From Allah?,"Full video essay exploring Surah Az-Zumar 39:53 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-004.md,Watch the full episode on YouTube
2026-10-05,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 4,Short 4.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? What If You've Been Away From Allah?. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-004.md#Scene-1,Follow @HuursStudio for daily reflection
2026-10-06,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 4,Short 4.2: The Ayah (Surah Az-Zumar 39:53),Listen to this verse with an open heart. Surah Az-Zumar 39:53. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-004.md#Scene-2,Save this verse for your evening prayer
2026-10-06,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 4,Daily Card: Surah Az-Zumar 39:53,"🌿 *Huurs Daily Contemplation — Episode 4*

""Surah Az-Zumar 39:53""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-004.md#WhatsApp,Share with family and friends
2026-10-07,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 4,Short 4.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Az-Zumar 39:53. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-004.md#Scene-3,Try this 5-minute action tonight
2026-10-07,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 4,Instagram Carousel: What If You've Been Away From Allah?,Come back to the Qur'an with Episode 4: What If You've Been Away From Allah?. Focus on Surah Az-Zumar 39:53. Read it. Understand it. Live it.,#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_004/,Save this post and swipe through
2026-10-08,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 4,Short 4.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? What If You've Been Away From Allah?.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-004.md#Scene-4,Comment your thoughts below
2026-10-08,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 4,Weekly Contemplation: What If You've Been Away From Allah?,"Weekly broadcast dropping the complete pedagogical context of Surah Az-Zumar 39:53, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-10-09,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 4,Short 4.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Az-Zumar 39:53. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-004.md#Scene-5,Read Surah Al-Kahf with presence today
2026-10-09,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 4,X Thread: What If You've Been Away From Allah?,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Az-Zumar 39:53. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-004.md#Twitter,Retweet the thread to share guidance
2026-10-10,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 4,Spoken Reflection: What If You've Been Away From Allah?,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. What If You've Been Away From Allah?.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-004.md,Listen on Spotify or Apple Podcasts
2026-10-11,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 5,Episode 5: When Life Becomes Heavy,"Full video essay exploring Surah Ash-Sharh 94:1–8 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-005.md,Watch the full episode on YouTube
2026-10-12,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 5,Short 5.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? When Life Becomes Heavy. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md#Scene-1,Follow @HuursStudio for daily reflection
2026-10-13,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 5,Short 5.2: The Ayah (Surah Ash-Sharh 94:1–8),Listen to this verse with an open heart. Surah Ash-Sharh 94:1–8. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md#Scene-2,Save this verse for your evening prayer
2026-10-13,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 5,Daily Card: Surah Ash-Sharh 94:1–8,"🌿 *Huurs Daily Contemplation — Episode 5*

""Surah Ash-Sharh 94:1–8""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-005.md#WhatsApp,Share with family and friends
2026-10-14,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 5,Short 5.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Ash-Sharh 94:1–8. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md#Scene-3,Try this 5-minute action tonight
2026-10-14,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 5,Instagram Carousel: When Life Becomes Heavy,Come back to the Qur'an with Episode 5: When Life Becomes Heavy. Focus on Surah Ash-Sharh 94:1–8. Read it. Understand it. Live it.,#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_005/,Save this post and swipe through
2026-10-15,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 5,Short 5.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? When Life Becomes Heavy.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md#Scene-4,Comment your thoughts below
2026-10-15,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 5,Weekly Contemplation: When Life Becomes Heavy,"Weekly broadcast dropping the complete pedagogical context of Surah Ash-Sharh 94:1–8, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-10-16,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 5,Short 5.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Ash-Sharh 94:1–8. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-005.md#Scene-5,Read Surah Al-Kahf with presence today
2026-10-16,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 5,X Thread: When Life Becomes Heavy,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Ash-Sharh 94:1–8. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-005.md#Twitter,Retweet the thread to share guidance
2026-10-17,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 5,Spoken Reflection: When Life Becomes Heavy,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. When Life Becomes Heavy.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-005.md,Listen on Spotify or Apple Podcasts
2026-10-18,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 6,Episode 6: The Most Important Dua You Say Every Day,"Full video essay exploring Surah Al-Fatihah 1:6–7 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-006.md,Watch the full episode on YouTube
2026-10-19,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 6,Short 6.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? The Most Important Dua You Say Every Day. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md#Scene-1,Follow @HuursStudio for daily reflection
2026-10-20,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 6,Short 6.2: The Ayah (Surah Al-Fatihah 1:6–7),Listen to this verse with an open heart. Surah Al-Fatihah 1:6–7. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md#Scene-2,Save this verse for your evening prayer
2026-10-20,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 6,Daily Card: Surah Al-Fatihah 1:6–7,"🌿 *Huurs Daily Contemplation — Episode 6*

""Surah Al-Fatihah 1:6–7""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-006.md#WhatsApp,Share with family and friends
2026-10-21,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 6,Short 6.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Al-Fatihah 1:6–7. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md#Scene-3,Try this 5-minute action tonight
2026-10-21,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 6,Instagram Carousel: The Most Important Dua You Say Every Day,Come back to the Qur'an with Episode 6: The Most Important Dua You Say Every Day. Focus on Surah Al-Fatihah 1:6–7. Read it. Understand it. Live it.,#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_006/,Save this post and swipe through
2026-10-22,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 6,Short 6.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? The Most Important Dua You Say Every Day.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md#Scene-4,Comment your thoughts below
2026-10-22,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 6,Weekly Contemplation: The Most Important Dua You Say Every Day,"Weekly broadcast dropping the complete pedagogical context of Surah Al-Fatihah 1:6–7, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-10-23,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 6,Short 6.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Al-Fatihah 1:6–7. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md#Scene-5,Read Surah Al-Kahf with presence today
2026-10-23,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 6,X Thread: The Most Important Dua You Say Every Day,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Al-Fatihah 1:6–7. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-006.md#Twitter,Retweet the thread to share guidance
